studentId,subject,attendance,midterm,final
21IT166,B_o m_t và an toàn thông tin,10,10,10
21IT166,Chu_ ngh_a xã h_i và khoa h_c,10,10,10
21IT166,Chuyên __ 4 (IT),10,10,10
21IT166,_i_n toán _ám mây,10,10,10
21IT166,"__ án chuyên ngành 3 (GIT, SE)",10,10,10
21IT166,L_ch s_ __ng C_ng s_n Vi_t Nam (13),10,10,10
21IT166,Qu_n tr_ d_ án ph_n m_m (3),10,10,10
21IT167,B_o m_t và an toàn thông tin,10,10,10
21IT167,Chu_ ngh_a xã h_i và khoa h_c,10,10,10
21IT167,Chuyên __ 4 (IT),10,10,10
21IT167,_i_n toán _ám mây,10,10,10
21IT167,"__ án chuyên ngành 3 (GIT, SE)",10,10,10
21IT167,L_ch s_ __ng C_ng s_n Vi_t Nam (13),10,10,10
21IT167,Qu_n tr_ d_ án ph_n m_m (3),10,10,10
21IT168,B_o m_t và an toàn thông tin,10,10,10
21IT168,Chu_ ngh_a xã h_i và khoa h_c,10,10,10
21IT168,Chuyên __ 4 (IT),10,10,10
21IT168,_i_n toán _ám mây,10,10,10
21IT168,"__ án chuyên ngành 3 (GIT, SE)",10,10,10
21IT168,L_ch s_ __ng C_ng s_n Vi_t Nam (13),10,10,10
21IT168,Qu_n tr_ d_ án ph_n m_m (3),10,10,10
